name,url,irt
Culinary Skills (New),https://www.shl.com/solutions/products/product-catalog/view/culinary-skills-new/,no
Customer Service Phone Simulation,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-simulation/,no
Customer Service Phone Solution,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-solution/,no
Cyber Risk (New),https://www.shl.com/solutions/products/product-catalog/view/cyber-risk-new/,no
Data Entry (New),https://www.shl.com/solutions/products/product-catalog/view/data-entry-new/,no
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,no
Data Entry Numeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-numeric-split-screen-us/,no
Data Entry Ten Key Split Screen,https://www.shl.com/solutions/products/product-catalog/view/data-entry-ten-key-split-screen/,no
Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/data-science-new/,no
Data Warehousing Concepts,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/,yes
Dependability and Safety Instrument (DSI),https://www.shl.com/solutions/products/product-catalog/view/dependability-and-safety-instrument-dsi/,no
Dermatology (New),https://www.shl.com/solutions/products/product-catalog/view/dermatology-new/,no
Desktop Support (New),https://www.shl.com/solutions/products/product-catalog/view/desktop-support-new/,no
Digital Advertising (New),https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/,no
Digital Readiness Development Report - IC,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report/,no
Digital Readiness Development Report - Manager,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report-manager/,no
Docker (New),https://www.shl.com/solutions/products/product-catalog/view/docker-new/,no
Dojo (New),https://www.shl.com/solutions/products/product-catalog/view/dojo-new/,no
Drupal (New),https://www.shl.com/solutions/products/product-catalog/view/drupal-new/,no
DSI v1.1 Interpretation Report,https://www.shl.com/solutions/products/product-catalog/view/dsi-v1-1-interpretation-report/,no
Econometrics (New),https://www.shl.com/solutions/products/product-catalog/view/econometrics-new/,no
Economics (New),https://www.shl.com/solutions/products/product-catalog/view/economics-new/,no
Electrical and Electronics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electrical-and-electronics-engineering-new/,no
Electrical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electrical-engineering-new/,no
Electronics & Telecommunications Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,no
Electronics and Embedded Systems Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,no
Electronics and Semiconductor Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,no
English Comprehension (New),https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,no
Enterprise Java Beans (New),https://www.shl.com/solutions/products/product-catalog/view/enterprise-java-beans-new/,no
